type Channel NJets MET Mll LepDeltaPhi METLLDeltaPhi SumLepPt BTags weight
3 0 1 7.57 11.27 0.03 2.61 66.87 0 0.04678
3 0 1 12.99 12.17 0.31 -2.91 81.43 0 0.11052
3 0 1 34.26 14.36 0.32 2.42 87.85 0 0.06163
3 0 0 17.20 11.49 0.30 0.91 73.51 0 0.02291
3 0 1 42.58 12.16 0.39 0.81 57.07 0 0.07487
3 0 1 14.07 10.74 0.17 -0.25 52.11 0 0.09142
3 0 1 30.56 8.85 0.32 -0.89 52.17 0 0.09957
3 0 3 6.00 14.18 0.40 0.71 70.77 0 0.05642
3 0 3 28.34 13.90 0.13 -2.83 72.63 0 0.10075
3 0 1 23.13 14.09 0.23 -2.52 65.19 0 0.08590
3 0 1 27.18 11.30 0.04 -0.36 51.03 0 0.06117
3 0 1 16.41 9.91 0.25 1.19 60.95 1 0.11450
3 0 1 25.99 10.76 0.31 -2.52 63.50 0 0.10902
3 0 1 11.52 9.15 0.25 0.01 71.73 0 0.00289
3 0 1 22.23 8.66 0.32 3.09 53.56 0 0.06102
3 0 1 30.56 13.33 0.33 2.10 71.05 0 0.09388
3 0 1 20.97 11.79 0.28 1.86 68.88 1 0.09318
3 0 3 63.04 10.15 0.32 -1.96 61.86 0 0.07546
3 0 4 36.78 13.95 0.10 3.13 90.19 0 0.09400
3 0 1 40.44 11.54 0.39 1.62 51.01 0 0.07746
3 0 3 20.35 15.07 0.39 -0.29 71.84 0 0.02288
3 0 1 17.65 10.34 0.21 0.04 67.65 0 0.01722
3 0 2 28.12 9.63 0.15 1.58 62.67 0 0.07885
3 0 2 17.45 11.99 0.21 -0.38 69.53 0 0.01022
3 0 1 10.93 14.53 0.36 -1.99 81.70 0 0.05922
3 0 1 14.47 12.78 0.27 -1.06 65.32 0 0.06604
3 0 0 24.44 13.57 0.41 2.37 65.30 0 0.02958
3 0 1 13.50 12.52 0.07 -2.32 55.06 1 0.02924
3 0 1 15.40 14.32 0.42 -0.48 57.54 0 0.06899
3 0 0 13.54 13.12 0.00 2.55 67.32 0 0.08058
3 0 1 6.55 14.62 0.07 0.13 91.64 0 0.06176
3 0 1 26.95 9.63 0.20 -0.40 62.29 0 0.11641
3 0 2 12.75 14.27 0.34 -1.13 71.30 0 0.01112
3 0 3 29.11 12.69 0.14 -0.57 68.01 0 0.06832
3 0 1 8.33 11.79 0.08 0.18 71.57 0 0.08171
3 0 2 25.79 9.91 0.09 -2.61 59.55 1 0.07304
3 0 1 18.02 11.00 0.26 -1.16 68.25 0 0.07672
3 0 0 33.90 13.79 0.45 -2.77 60.60 0 0.08203
3 0 2 31.00 12.63 0.11 -1.06 68.65 0 0.03378
3 0 1 25.98 11.54 0.35 -2.47 60.25 0 0.06967
3 0 2 22.52 13.58 0.34 -0.97 62.87 1 0.04386
3 0 2 57.10 11.01 0.01 -0.59 58.97 0 0.03214
3 0 1 35.03 12.57 0.37 -0.85 67.79 1 0.07479
3 0 1 22.12 11.26 0.25 2.75 74.94 0 0.03338
3 0 1 5.71 11.09 0.33 -2.12 56.41 0 0.07717
3 0 1 21.66 12.81 0.38 2.07 63.21 0 0.05329
3 0 2 7.11 9.56 0.08 1.10 59.00 0 0.08088
3 0 0 22.37 14.52 0.36 -2.34 73.69 0 0.05505
3 0 1 22.34 10.94 0.27 -2.87 50.85 0 0.04675
3 0 1 19.21 12.37 0.39 1.40 61.48 0 0.00277
3 0 1 3.08 12.52 0.01 2.98 64.00 0 0.08122
3 0 3 39.32 10.31 0.30 1.50 67.91 0 0.12039
3 0 1 23.70 13.76 0.34 0.22 71.32 0 0.02733
3 0 2 40.04 12.04 0.41 0.14 55.05 0 0.07322
3 0 1 15.91 14.14 0.50 2.31 55.42 0 0.04626
3 0 1 24.62 14.16 0.36 1.10 75.35 1 0.05603
3 0 3 25.24 11.31 0.26 -1.50 77.73 0 0.11881
3 0 1 10.21 12.79 0.12 -2.51 89.75 0 0.06642
3 0 1 23.14 11.82 0.12 -0.57 59.17 0 0.06802
3 0 1 31.70 12.51 0.29 2.28 65.19 0 0.06527
3 0 1 13.72 9.45 0.19 2.08 59.52 0 0.04039
3 0 1 13.46 11.54 0.34 0.32 63.39 0 0.10635
3 0 2 58.62 10.71 0.11 2.07 61.88 1 0.07477
3 0 2 19.04 14.10 0.49 -2.01 54.88 1 0.08142
3 0 0 50.28 11.31 0.39 2.69 57.98 0 0.07472
3 0 2 18.97 13.29 0.11 0.27 61.38 0 0.00315
3 0 2 32.11 9.06 0.31 -2.72 57.80 1 0.11341
3 0 1 16.97 13.06 0.25 -2.06 82.06 1 0.09069
3 0 1 4.80 12.72 0.35 -1.44 57.44 0 0.11807
3 0 3 47.90 14.70 0.08 0.42 71.40 0 0.05939
3 0 1 33.73 14.50 0.38 -2.61 69.97 0 0.08021
3 0 0 39.96 11.72 0.09 0.73 66.92 0 0.08559
3 0 1 8.58 13.56 0.39 -3.13 69.64 0 0.07477
3 0 1 13.17 13.63 0.41 1.05 64.31 0 0.12423
3 0 1 6.98 12.31 0.33 -2.25 62.19 0 0.08182
3 0 1 19.22 14.75 0.08 2.04 57.27 0 0.07840
3 0 0 21.88 10.71 0.13 2.49 69.42 0 0.03979
3 0 1 9.50 13.21 0.44 -2.23 59.17 0 0.07832
3 0 1 20.01 12.51 0.28 -1.86 66.38 0 0.05692
3 0 1 12.66 13.68 0.30 3.10 68.17 0 0.09339
3 0 2 28.89 12.46 0.09 0.86 68.93 1 0.08888
3 0 0 44.75 13.85 0.37 -3.10 68.49 0 0.06444
3 0 0 36.51 8.93 0.27 1.92 54.86 0 0.06679
3 0 2 50.78 8.56 0.05 0.40 54.72 1 0.04837
3 0 2 28.56 13.13 0.20 2.08 76.81 0 0.11876
3 0 1 32.64 10.59 0.19 2.83 69.30 0 0.03954
3 0 2 25.76 12.06 0.15 -3.11 69.62 0 0.08019
3 0 1 10.42 13.42 0.48 -0.96 54.56 0 0.01450
3 0 0 37.56 13.92 0.25 -1.09 69.20 0 0.07350
3 0 1 20.72 13.68 0.30 2.80 56.59 0 0.08534
3 0 1 26.53 14.63 0.23 1.00 102.94 0 0.06839
3 0 1 16.64 13.45 0.30 0.47 81.05 0 0.01970
3 0 1 30.49 10.71 0.12 1.21 55.97 0 0.05606
3 0 0 10.81 14.80 0.30 -0.02 66.95 0 0.07650
3 0 1 31.11 14.01 0.32 0.66 54.00 1 0.07344
3 0 1 12.12 11.65 0.21 2.71 54.40 0 0.03375
3 0 2 17.61 12.08 0.06 0.92 65.89 0 0.01035
3 0 1 9.43 10.47 0.09 -0.39 56.04 0 0.05163
3 0 1 25.20 9.95 0.26 0.64 65.10 0 0.10742
1 1 1 101.09 42.21 1.14 0.21 67.00 0 0.03679
1 1 0 10.26 208.51 2.99 -0.00 10.38 0 0.02068
1 0 0 81.79 67.30 2.55 -2.64 29.58 0 0.02199
1 0 0 32.93 112.19 2.95 2.85 18.88 0 0.03165
1 2 0 44.90 55.94 1.81 -2.96 49.77 0 0.02580
1 2 0 74.41 99.17 2.00 2.74 67.80 0 0.02498
1 2 1 60.69 95.32 2.48 2.04 72.97 0 0.03145
1 2 0 35.87 69.49 2.32 2.29 32.48 0 0.03176
1 1 0 34.23 83.74 2.81 1.24 36.05 0 0.03073
1 0 1 40.78 97.28 2.15 -2.51 56.54 0 0.02950
1 0 0 5.79 119.94 3.01 -1.98 16.98 0 0.02023
1 2 0 41.04 118.81 2.50 3.08 40.06 0 0.02630
1 2 1 2.66 105.37 1.65 0.16 67.56 0 0.01511
1 1 1 29.26 151.71 2.86 0.48 63.94 0 0.02373
1 0 0 90.91 86.61 2.10 -2.46 52.87 0 0.01988
1 2 1 20.71 82.58 2.08 -3.03 58.16 0 0.01724
1 2 1 26.92 318.32 2.63 -2.35 131.28 0 0.01000
1 0 0 78.85 73.95 1.07 3.01 69.33 0 0.03609
1 2 1 44.76 196.79 3.07 -0.64 18.17 0 0.03825
1 2 0 29.32 63.31 1.71 2.77 45.13 0 0.02630
1 2 0 25.70 67.52 2.37 2.39 27.47 0 0.01423
1 2 0 94.77 62.51 1.46 -3.09 48.25 0 0.00219
1 1 0 44.87 121.16 2.77 3.10 24.86 0 0.02061
1 2 0 33.57 65.82 2.38 2.50 31.59 0 0.02190
1 0 0 8.49 83.25 2.93 1.30 8.71 0 0.02178
1 2 0 44.01 122.68 2.23 2.53 54.01 0 0.03370
1 2 0 35.16 142.28 2.86 2.86 28.06 0 0.04225
1 1 1 22.68 134.70 2.67 -1.53 39.28 0 0.06285
1 2 0 50.08 663.62 3.12 1.90 8.75 0 0.05098
1 0 0 32.80 160.00 2.63 -2.18 29.16 0 0.00714
1 2 0 25.68 78.11 3.02 2.04 10.93 0 0.05247
1 0 0 17.77 71.70 2.25 -1.99 32.36 0 0.01785
1 1 0 44.90 153.16 2.69 -3.12 33.83 0 0.02492
1 1 1 115.14 34.53 0.14 2.75 60.77 0 0.05361
1 0 2 84.82 163.60 2.09 -2.42 128.32 0 0.03769
1 1 1 75.01 109.43 2.62 -3.00 49.86 0 0.05313
1 2 1 21.38 177.82 2.57 -1.57 49.83 0 0.03830
1 2 0 55.33 93.13 2.32 -2.89 47.61 0 0.03758
1 2 0 50.25 45.28 0.46 2.93 68.96 0 0.02873
1 2 0 27.01 116.88 2.74 2.56 21.73 0 0.03650
1 0 0 84.10 646.29 3.08 2.58 67.77 0 0.03354
1 2 1 87.10 142.24 3.11 -1.43 42.70 0 0.04047
1 1 0 25.43 172.52 2.97 1.54 30.44 0 0.02941
1 0 1 55.37 80.56 1.74 1.81 37.77 0 0.02172
1 2 0 107.03 135.10 1.58 -3.08 102.52 0 0.00851
1 1 1 90.69 124.06 2.17 -0.40 60.12 0 0.00514
1 2 0 64.64 183.03 2.28 3.12 66.31 0 0.00787
1 0 0 30.75 158.12 2.47 -2.36 21.65 0 0.01007
1 2 0 69.15 54.59 1.31 -2.96 60.89 0 0.01146
1 2 3 51.62 54.07 1.15 3.00 68.80 0 0.01151
1 1 0 18.33 130.44 2.95 -2.46 35.34 0 0.00491
1 1 2 35.88 139.57 2.95 2.78 40.24 0 0.00766
1 0 0 30.72 69.11 2.76 2.74 17.60 0 0.01982
1 2 0 1.84 107.30 3.06 -2.99 4.24 0 0.00685
1 2 1 39.21 79.32 2.67 2.97 17.33 0 0.03124
1 0 0 91.10 18.05 0.49 -3.09 71.53 0 0.02852
1 2 0 104.90 143.29 2.99 3.13 117.06 0 0.01958
1 2 0 45.19 468.36 2.72 2.56 28.13 0 0.02702
1 2 0 9.04 62.82 3.11 0.53 5.46 0 0.02231
1 2 0 13.92 85.94 2.86 -3.11 13.02 0 0.03572
1 2 0 66.67 75.33 1.72 3.07 69.13 0 0.03258
1 2 0 48.83 175.55 2.73 -2.11 36.83 0 0.04140
1 2 0 84.95 26.91 0.16 2.67 64.22 0 0.03753
1 2 0 77.93 15.78 0.24 -3.10 61.49 0 0.03721
1 0 0 55.91 149.00 2.35 -2.60 61.56 0 0.02844
1 1 0 101.09 140.32 3.03 -2.71 56.74 0 0.02909
1 2 1 69.07 170.75 2.87 -1.62 56.77 0 0.00431
1 1 0 50.88 105.00 2.14 -3.09 43.23 0 0.02296
1 2 1 21.33 328.14 1.85 1.12 236.28 0 0.03647
1 1 1 31.42 86.89 2.36 -0.84 31.04 0 0.00218
1 2 0 36.87 82.79 3.13 -3.11 22.18 0 0.03299
1 2 2 132.69 324.58 2.40 -2.61 149.24 0 0.03247
1 2 0 99.88 106.87 1.26 3.12 83.81 0 0.02646
1 2 0 51.03 144.58 2.41 3.08 56.05 0 0.02276
1 0 2 66.44 111.71 0.84 -1.80 88.06 0 0.00966
1 0 0 58.87 188.81 1.51 -2.80 61.70 0 0.01026
1 2 0 24.03 117.28 2.89 3.04 8.12 0 0.00214
1 1 0 64.69 62.78 1.84 2.91 45.29 0 0.01128
1 2 1 24.44 74.79 2.03 1.95 36.65 0 0.01107
